DisplayImage	corrAns	ishihara_pics.thisRepN	ishihara_pics.thisTrialN	ishihara_pics.thisN	ishihara_pics.thisIndex	blocks.thisRepN	blocks.thisTrialN	blocks.thisN	blocks.thisIndex	thisRow.t	notes	Settings.started	Settings.stopped	demographics.started	demographics.stopped	demographic_form.index	demographic_form.itemText	demographic_form.type	demographic_form.font	demographic_form.markerColor	demographic_form.response	demographic_form.rt	education.started	education.stopped	edu_form.index	edu_form.itemText	edu_form.type	edu_form.font	edu_form.markerColor	edu_form.response	edu_form.rt	Ishihara.started	Ishihara.stopped	ishihara_number.text	no_text_blocks_self_paced.started	no_text_blocks_self_paced.stopped	text_blocks_self_paced.started	colour	target	nback_response	nback_RT	duration	text_nr	trial_nr	block_nr	block_name	block_kind	word	global_onset_time	question	button_pressed	chosen_ans	ans_correct	block_nr_exp	n-back_level	text_blocks_self_paced.stopped	text_blocks_paced.started	text_blocks_paced.stopped	no_text_blocks_paced.started	no_text_blocks_paced.stopped	pseudotext.started	pseudotext.stopped	curr_0back_target	RT_per_letter_baseline	RT_per_letter_0back	RT_per_letter_1bck	RT_per_letter_2bck	RT_per_rect_1back_single	RT_per_rect_2back_single	end.started	end.stopped	participant	testing_mode	date	expName	psychopyVersion	expStart	
						1	0	1	0																													#2AB7EF	None	None	None	431.96797370910645	text_02	15	1	Reading_Baseline_main_click	None	war																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	415.27605056762695	text_02	16	1	Reading_Baseline_main_click	None	so																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#F989A2	None	None	None	447.7379322052002	text_02	17	1	Reading_Baseline_main_click	None	groß																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	465.487003326416	text_02	18	1	Reading_Baseline_main_click	None	wie																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#2AB7EF	None	None	None	381.9119930267334	text_02	19	1	Reading_Baseline_main_click	None	eine																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#F989A2	None	None	None	415.3270721435547	text_02	20	1	Reading_Baseline_main_click	None	Katze.																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#F989A2	None	None	None	465.5909538269043	text_02	21	1	Reading_Baseline_main_click	None	Das																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#88BA3F	None	None	None	465.05188941955566	text_02	22	1	Reading_Baseline_main_click	None	Tier																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	482.2239875793457	text_02	23	1	Reading_Baseline_main_click	None	lebte																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
						1	0	1	0																													#D292F3	None	None	None	381.24704360961914	text_02	24	1	Reading_Baseline_main_click	None	vor																								YA01	no	2024-08-26_11h08.59.930	EXNAT_3_training	2024.1.0	2024-08-26 11h09.10.324995 +0200	
